EI,YCA,YCA_MMF,ISH,FV,FP,IWS,WOP_L30,HH_BSF,HSF,IRF,VAF,WL,ISF,ISW,Stunting,Wasting,Underweight
48.30,1.00,31.40,29.23,64.60,21.00,60.80,92.50,4.60,76.70,5.66,19.02,52.30,9.70,1.00,32.90,5.20,11.80
59.10,6.60,43.40,49.60,54.40,20.60,67.90,96.00,20.60,23.90,10.88,26.16,79.90,71.30,20.20,24.30,3.30,9.70
62.00,8.50,55.40,29.60,72.10,27.40,69.00,94.90,18.50,22.00,16.10,33.30,79.70,71.50,43.50,22.00,4.60,6.40
90.50,36.50,67.40,90.70,81.60,26.00,92.00,98.00,22.70,20.00,42.20,69.00,87.80,78.70,65.80,14.60,3.50,5.00
71.70,29.10,82.30,90.70,54.90,26.10,82.70,94.10,43.30,18.00,40.80,58.20,84.00,79.80,75.60,13.90,2.20,4.90
