EI,YCA,YCA_MMF,ISH,FV,FP,IWS,WOP_L30,HH_BSF,HSF,IRF,VAF,WL,ISF,ISW,Stunting,Wasting,Underweight
30.50,1.00,4.38,4.70,1.00,6.60,2.20,13.10,0.30,8.50,0.30,1.00,16.60,0.60,1.30,53.10,16.20,45.20
82.40,1.53,14.98,61.00,2.34,6.50,8.10,21.00,4.60,3.60,2.90,2.90,15.60,9.20,11.60,42.20,14.00,30.90
59.60,4.70,27.70,17.80,5.70,8.10,21.90,34.10,7.20,6.80,5.50,11.40,20.30,19.30,21.90,50.20,19.50,40.20
42.00,2.60,38.30,74.10,12.40,10.00,31.00,42.60,4.10,15.30,8.10,11.30,23.70,20.90,47.90,41.10,17.70,36.20
65.60,4.50,52.20,74.10,4.10,11.10,28.70,40.80,5.50,16.80,6.90,16.40,19.80,18.60,52.20,43.00,13.50,31.10
