EI,YCA,YCA_MMF,ISH,FV,FP,IWS,WOP_L30,HH_BSF,HSF,IRF,VAF,WL,ISF,ISW,Stunting,Wasting,Underweight
64.10,1.00,42.10,25.50,17.70,14.50,30.50,56.20,2.50,42.40,1.00,1.00,44.70,3.90,10.30,42.10,7.30,22.20
73.00,3.08,46.50,58.50,21.00,20.50,35.40,67.10,16.20,18.80,6.38,6.90,54.90,40.80,20.40,43.80,10.90,22.10
64.60,6.00,50.90,5.60,17.10,22.30,35.60,66.20,14.80,25.40,13.90,29.60,54.00,40.00,30.50,29.80,9.10,21.50
89.40,16.40,55.30,87.20,40.40,20.30,61.40,75.40,17.10,33.80,40.80,52.30,54.60,44.20,48.70,32.00,10.70,20.00
72.00,18.20,60.10,87.20,16.30,20.60,53.30,72.00,19.70,33.60,28.00,45.80,53.80,47.00,65.70,34.70,4.10,20.20
